USER            PID   PPID NAME                       
root              1      0 init
root              2      0 [kthreadd]
root              3      2 [rcu_gp]
root              4      2 [rcu_par_gp]
root              5      2 [kworker/0:0-mm_percpu_wq]
root              6      2 [kworker/0:0H-mmc_complete]
root              7      2 [kworker/u8:0+events_unbound]
root              8      2 [mm_percpu_wq]
root              9      2 [kworker/u8:1-kverityd]
root             10      2 [rcu_tasks_kthre]
root             11      2 [rcu_tasks_trace]
root             12      2 [ksoftirqd/0]
root             13      2 [rcu_preempt]
root             14      2 [migration/0]
root             15      2 [cpuhp/0]
root             16      2 [cpuhp/1]
root             17      2 [migration/1]
root             18      2 [ksoftirqd/1]
root             19      2 [kworker/1:0-events_long]
root             20      2 [kworker/1:0H-kblockd]
root             21      2 [cpuhp/2]
root             22      2 [migration/2]
root             23      2 [ksoftirqd/2]
root             24      2 [kworker/2:0-cgroup_pidlist_destroy]
root             25      2 [kworker/2:0H-events_highpri]
root             26      2 [cpuhp/3]
root             27      2 [migration/3]
root             28      2 [ksoftirqd/3]
root             29      2 [kworker/3:0-rcu_gp]
root             30      2 [kworker/3:0H-events_highpri]
root             31      2 [netns]
root             32      2 [kworker/2:1-cgroup_pidlist_destroy]
root             33      2 [kworker/1:1-events_long]
root             34      2 [kworker/0:1-mm_percpu_wq]
root             35      2 [kworker/3:1-cgroup_pidlist_destroy]
root             36      2 [kauditd]
root             37      2 [khungtaskd]
root             38      2 [oom_reaper]
root             39      2 [writeback]
root             40      2 [kcompactd0]
root             82      2 [kblockd]
root             83      2 [blkcg_punt_bio]
root             84      2 [edac-poller]
root             85      2 [devfreq_wq]
root             86      2 [watchdogd]
root             87      2 [kworker/3:1H-kblockd]
root             88      2 [cfg80211]
root            109      2 [kswapd0]
root            110      2 [kworker/u9:0]
root            112      2 [kworker/3:2-events]
root            113      2 [kworker/1:2-cgroup_pidlist_destroy]
root            115      2 [kworker/1:3-events]
root            119      2 [kworker/u8:2-adb]
root            120      2 [dmabuf-deferred]
root            121      2 [uas]
root            122      2 [dm_bufio_cache]
root            123      2 [sdhci]
root            124      2 [irq/53-mmc2]
root            125      2 [ion_system_heap]
root            126      2 [ipv6_addrconf]
root            127      2 [mmc_complete]
root            128      2 [kworker/1:1H-kblockd]
root            129      2 [kworker/0:1H-mmc_complete]
root            130      2 [krfcommd]
root            138      2 [ci_otg]
root            139      2 [ci_power_lost]
root            140      2 [card0-crtc0]
root            141      2 [card0-crtc1]
root            142      2 [card0-crtc2]
root            143      2 [card0-crtc3]
root            148      2 [kworker/2:1H-kblockd]
root            149      2 [kdmflush]
root            150      2 [kverityd]
root            151      2 [ext4-rsv-conver]
root            152      2 [kworker/0:2H-kblockd]
root            153      2 [kdmflush]
root            154      2 [kverityd]
